shift_start,date,weekday,shift,name,idle_time,active_time,num_orders_shipped,stationed_at,overtime,utilization
1065600,11/03/2020,Tuesday,afternoon,1065600afternoon1,11,28790,527,2,1,0.9996180820776335
1065600,11/03/2020,Tuesday,afternoon,1065600afternoon2,22,28810,527,1,32,0.9992378048780488
1094400,11/03/2020,Tuesday,evening,1094400evening2,33,28790,520,1,23,0.9988559938986341
1094400,11/03/2020,Tuesday,evening,1094400evening1,2,28840,515,2,42,0.9999307575128099
1123200,11/04/2020,Wednesday,morning,1123200morning2,43,28760,525,2,3,0.998507255432896
1123200,11/04/2020,Wednesday,morning,1123200morning1,24,28790,528,1,14,0.9991674760649368
1152000,11/04/2020,Wednesday,afternoon,1152000afternoon2,15,28800,519,1,15,0.9994797086368367
1152000,11/04/2020,Wednesday,afternoon,1152000afternoon1,4,28830,512,2,34,0.9998614382707496
1180800,11/04/2020,Wednesday,evening,1180800evening2,35,28790,518,2,25,0.9987868284228769
1180800,11/04/2020,Wednesday,evening,1180800evening1,16,28860,522,1,76,0.9994473611494888
1209600,11/05/2020,Thursday,morning,1209600morning2,77,28740,530,1,17,0.9973295415134911
1209600,11/05/2020,Thursday,morning,1209600morning1,26,28810,530,2,36,0.9990994735383762
1238400,11/05/2020,Thursday,afternoon,1238400afternoon1,18,28790,531,1,8,0.9993753470294281
1238400,11/05/2020,Thursday,afternoon,1238400afternoon2,37,28780,521,2,17,0.9987167926753139
1267200,11/05/2020,Thursday,evening,1267200evening2,18,28810,522,2,28,0.9993762129193235
1267200,11/05/2020,Thursday,evening,1267200evening1,9,28830,527,1,39,0.9996883440681488
1296000,11/06/2020,Friday,morning,1296000morning2,11290,17510,318,1,0,0.6079861111111111
1296000,11/06/2020,Friday,morning,1296000morning1,11976,16850,307,2,26,0.5849161236656037
1324800,11/06/2020,Friday,afternoon,1324800afternoon2,1305,27520,496,2,25,0.9547660311958406
1324800,11/06/2020,Friday,afternoon,1324800afternoon1,985,27890,503,1,75,0.9659758203799654
1353600,11/06/2020,Friday,evening,1353600evening2,76,28750,517,1,26,0.9973658671842507
1353600,11/06/2020,Friday,evening,1353600evening1,26,28810,526,2,36,0.9990994735383762
1382400,11/07/2020,Saturday,morning,1382400morning1,27,28810,520,1,37,0.9990649026806123
1411200,11/07/2020,Saturday,afternoon,1411200afternoon1,0,28800,523,2,0,1.0
1440000,11/07/2020,Saturday,evening,1440000evening1,0,28800,516,1,0,1.0
1468800,11/08/2020,Sunday,morning,1468800morning1,0,28800,522,2,0,1.0
1468800,11/08/2020,Sunday,morning,1468800morning2,1,28830,535,1,31,0.9999653523664334
1497600,11/08/2020,Sunday,afternoon,1497600afternoon1,1,28810,504,2,11,0.9999653042814517
1497600,11/08/2020,Sunday,afternoon,1497600afternoon2,32,28820,517,1,52,0.9988928867976751
1526400,11/08/2020,Sunday,evening,1526400evening2,53,28780,519,1,33,0.9981639298829073
1526400,11/08/2020,Sunday,evening,1526400evening1,12,28840,532,2,52,0.9995848325491281
1555200,11/09/2020,Monday,morning,1555200morning1,34,28800,516,1,34,0.9988222253013718
1584000,11/09/2020,Monday,afternoon,1584000afternoon1,0,28800,521,2,0,1.0
1612800,11/09/2020,Monday,evening,1612800evening1,0,28830,522,1,30,1.0
