idx,weekday,shift,current_level_parking_tshirt,current_level_parking_hoodie,current_level_parking_spants,current_level_parking_sneaks,current_level_storage_tshirt,current_level_storage_hoodie,current_level_storage_spants,current_level_storage_sneaks,current_packing_stations_queue,total_orders_shipped,total_orders_cancelled,total_orders_discarded,total_gross_proft,total_delivery_expense,total_delivery_expense_returns,total_labor_expense,total_labor_expense_overtime,total_inventory_holding_cost,total_lost_sales_penalty,fixed_cost_facilities,fixed_cost_packing_stations
28800,Thursday,morning,0,0,0,0,9848,4913,4921,3281,0,149,0,0,3244,0,0,0,0,1982.8328460655734,0,5000000,100000
57600,Thursday,afternoon,0,0,0,0,9144,4546,4558,3122,0,764,0,0,16438,10000,0,720.0,2.2625,3892.6344826388913,0,5000000,100000
86400,Thursday,evening,0,0,0,0,8249,4143,4094,2894,1,1543,0,0,33090,10000,0,2340.0,9.1875,5655.016925924301,0,5000000,100000
115200,Friday,morning,0,0,0,0,7793,3904,3839,2762,0,1979,0,0,42672,10000,0,5400.0,19.8625,7282.250081016918,0,5000000,100000
144000,Friday,afternoon,0,0,0,0,6221,3136,3089,2355,365,3021,0,0,64722,20000,0,6840.0,22.55,8765.43796643337,0,5000000,100000
172800,Friday,evening,0,0,0,0,4249,2127,2076,1853,1077,4071,0,0,86366,20000,0,10080.0,37.90625000000001,10036.783412036186,0,5000000,100000
201600,Saturday,morning,0,0,0,0,3813,1906,1871,1761,958,4599,0,0,97768,20000,0,16560.0,55.95,11147.163843748738,0,5000000,100000
230400,Saturday,afternoon,4577,2292,2299,1158,1991,994,925,1285,2105,5109,0,0,109128,30000,0,17460.0,60.7875,12886.191730324255,0,5000000,100000
259200,Saturday,evening,0,0,0,0,4438,2275,2208,1899,3437,5638,0,0,119758,30000,0,20700.0,78.7875,14623.578234955396,0,5000000,100000
288000,Sunday,morning,0,0,0,0,3702,1897,1817,1730,3074,6685,0,0,141958,30000,0,27540.0,96.475,16204.441258103661,0,5000000,100000
316800,Sunday,afternoon,3675,1828,1852,918,2358,1267,1167,1410,3194,7727,0,0,164320,40000,0,29160.0,100.425,18159.780165511518,0,5000000,100000
345600,Sunday,evening,0,0,0,0,4284,2211,2161,1910,3715,8772,0,0,186764,40000,0,31860.0,114.76874999999997,19981.375241899594,0,5000000,100000
374400,Monday,morning,0,0,0,0,3951,2038,1985,1828,3508,9297,0,0,197678,40000,0,37620.0,127.11249999999997,21642.850664352343,0,5000000,100000
403200,Monday,afternoon,1830,916,916,459,3345,1743,1686,1675,3526,9823,0,0,208558,50000,0,38700.0,132.96874999999997,23493.503196762475,0,5000000,100000
432000,Monday,evening,0,0,0,0,4199,2172,2104,1904,3885,10346,0,0,219732,50000,0,39960.0,139.05624999999998,25279.94427315051,0,5000000,100000
460800,Tuesday,morning,0,0,0,0,3980,2075,1999,1854,3043,11390,0,0,241526,50000,0,43020.0,149.68124999999998,26907.404815973317,0,5000000,100000
489600,Tuesday,afternoon,1374,685,689,345,3458,1753,1720,1731,2480,12440,0,0,263600,60000,0,43740.0,149.99999999999997,28543.959421296604,0,5000000,100000
518400,Tuesday,evening,6,13,5,9,4153,2112,2059,1900,2019,13488,0,0,285658,60000,0,45000.0,155.14374999999995,30000.013399305986,0,5000000,100000
547200,Wednesday,morning,6,13,5,9,3777,1898,1895,1804,1308,14541,0,0,307324,60000,0,47340.0,166.11249999999995,31244.69322221829,0,5000000,100000
576000,Wednesday,afternoon,3224,1620,1612,801,2717,1362,1353,1515,1268,15583,0,0,329576,70000,0,48420.0,171.04999999999998,32791.80446873935,0,5000000,100000
604800,Wednesday,evening,0,0,0,0,4418,2201,2201,1935,1585,16637,0,0,351714,70000,0,50760.0,179.31249999999997,34198.21342475583,0,5000000,100000
