idx,weekday,shift,current_level_parking_tshirt,current_level_parking_hoodie,current_level_parking_spants,current_level_parking_sneaks,current_level_storage_tshirt,current_level_storage_hoodie,current_level_storage_spants,current_level_storage_sneaks,current_packing_stations_queue,total_orders_shipped,total_orders_cancelled,total_orders_discarded,total_gross_proft,total_delivery_expense,total_delivery_expense_returns,total_labor_expense,total_labor_expense_overtime,total_inventory_holding_cost,total_lost_sales_penalty,fixed_cost_facilities,fixed_cost_packing_stations
633600,Thursday,morning,0,0,0,0,4211,2094,2083,1892,730,17700,0,0,373354,70000,0,55800.0,199.56874999999997,35392.233207163765,0,5000000,100000
662400,Thursday,afternoon,1835,927,928,460,3470,1702,1693,1705,364,18748,0,0,395724,80000,0,56520.0,200.77499999999995,36669.28250230941,0,5000000,100000
691200,Thursday,evening,0,0,0,0,4413,2170,2200,1935,109,19784,0,0,418076,80000,0,58140.0,207.05624999999995,37774.23641435242,0,5000000,100000
720000,Friday,morning,0,0,0,0,3843,1870,1920,1797,1,20418,0,0,431388,80000,0,61200.0,212.28749999999997,38694.75898377915,0,5000000,100000
748800,Friday,afternoon,4169,2081,2079,1050,2287,1055,1133,1399,383,21455,0,0,453202,90000,0,62640.0,218.43749999999997,40128.6924143342,0,5000000,100000
777600,Friday,evening,0,0,0,0,4502,2075,2264,1972,1087,22515,0,0,474978,90000,0,65880.0,234.87499999999994,41445.35250346307,0,5000000,100000
806400,Saturday,morning,0,0,0,0,4073,1852,2014,1861,978,23031,0,0,486224,90000,0,72360.0,252.92499999999993,42603.539986109026,0,5000000,100000
835200,Saturday,afternoon,4577,2292,2299,1158,2173,915,1087,1389,2117,23545,0,0,497534,100000,0,73260.0,257.9374999999999,44390.12003239998,0,5000000,100000
864000,Saturday,evening,0,0,0,0,4736,2177,2309,2021,3461,24063,0,0,509002,100000,0,76500.0,274.1874999999999,46173.62307637454,0,5000000,100000
892800,Sunday,morning,0,0,0,0,3968,1777,1944,1841,3105,25098,0,0,531416,100000,0,83340.0,290.2499999999999,47792.94228934388,0,5000000,100000
921600,Sunday,afternoon,3675,1828,1852,918,2658,1101,1276,1476,3249,26151,0,0,553632,110000,0,84960.0,294.68749999999994,49787.76738540355,0,5000000,100000
950400,Sunday,evening,0,0,0,0,4555,2068,2252,1962,3776,27190,0,0,575840,110000,0,87660.0,308.70000000000005,51649.558724528346,0,5000000,100000
979200,Monday,morning,0,0,0,0,4199,1851,2063,1859,3627,27710,0,0,587098,110000,0,93420.0,323.10625000000005,53351.02271874648,0,5000000,100000
1008000,Monday,afternoon,1830,916,916,459,3582,1567,1770,1701,3647,28232,0,0,598096,120000,0,94500.0,324.70625000000007,55239.72106827949,0,5000000,100000
1036800,Monday,evening,0,0,0,0,4454,1995,2184,1892,3999,28760,0,0,609384,120000,0,95760.0,332.66250000000014,57060.97231828384,0,5000000,100000
1065600,Tuesday,morning,0,0,0,0,4229,1902,2095,1843,3143,29802,0,0,631724,120000,0,98820.0,341.47500000000014,58721.406453707066,0,5000000,100000
1094400,Tuesday,afternoon,1374,685,689,345,3716,1606,1834,1718,2538,30856,0,0,653758,130000,0,99540.0,342.5250000000002,60388.96260069648,0,5000000,100000
1123200,Tuesday,evening,6,13,5,9,4395,1924,2194,1887,2090,31891,0,0,676334,130000,0,100800.0,346.95625000000024,61873.67948843104,0,5000000,100000
1152000,Wednesday,morning,6,13,5,9,4026,1709,2024,1790,1378,32944,0,0,698266,130000,0,103140.0,359.98750000000024,63141.70538774524,0,5000000,100000
1180800,Wednesday,afternoon,3224,1620,1612,801,2924,1165,1472,1528,1336,33975,0,0,720824,140000,0,104220.0,361.4500000000002,64708.92515163054,0,5000000,100000
1209600,Wednesday,evening,0,0,0,0,4648,1971,2351,1986,1670,35015,0,0,743020,140000,0,106560.0,370.3625000000002,66132.24063426864,0,5000000,100000
1238400,Thursday,morning,0,0,0,0,4427,1871,2232,1948,818,36075,0,0,764510,140000,0,111600.0,392.5562500000002,67345.54364700211,0,5000000,100000
1267200,Thursday,afternoon,1835,927,928,460,3629,1502,1847,1760,448,37127,0,0,786142,150000,0,112320.0,394.0750000000002,68648.26594096322,0,5000000,100000
1296000,Thursday,evening,0,0,0,0,4599,1972,2337,2025,183,38176,0,0,807990,150000,0,113940.0,402.2937500000002,69782.23835068759,0,5000000,100000
1324800,Friday,morning,0,0,0,0,4131,1726,2087,1916,0,38801,0,0,821104,150000,0,117000.0,409.5875000000002,70730.1313657511,0,5000000,100000
1353600,Friday,afternoon,4169,2081,2079,1050,2575,917,1256,1477,424,39800,0,0,843198,160000,0,118440.0,415.15000000000026,72199.72148728055,0,5000000,100000
1382400,Friday,evening,0,0,0,0,4790,1998,2353,2028,1142,40843,0,0,865788,160000,0,121680.0,428.7750000000003,73546.55883564088,0,5000000,100000
1411200,Saturday,morning,0,0,0,0,4348,1759,2153,1894,1027,41364,0,0,876994,160000,0,128160.0,441.41250000000036,74728.00993750205,0,5000000,100000
1440000,Saturday,afternoon,4577,2292,2299,1158,2493,813,1205,1419,2155,41887,0,0,887848,170000,0,129060.0,444.89375000000035,76540.42456367527,0,5000000,100000
1468800,Saturday,evening,0,0,0,0,4955,1990,2508,2104,3500,42403,0,0,899470,170000,0,132300.0,456.89375000000035,78351.83096417016,0,5000000,100000
1497600,Sunday,morning,0,0,0,0,4202,1609,2111,1904,3135,43459,0,0,921448,170000,0,139140.0,474.39375000000035,79999.42351857794,0,5000000,100000
1526400,Sunday,afternoon,3675,1828,1852,918,2869,945,1441,1541,3309,44480,0,0,943998,180000,0,140760.0,474.80000000000035,82021.84364705933,0,5000000,100000
1555200,Sunday,evening,0,0,0,0,4744,1949,2419,2043,3825,45531,0,0,965966,180000,0,143460.0,485.4000000000003,83914.03303594806,0,5000000,100000
1584000,Monday,morning,0,0,0,0,4505,1824,2291,1971,3560,46048,0,0,977112,180000,0,149220.0,499.9312500000003,85647.02716559706,0,5000000,100000
1612800,Monday,afternoon,1830,916,916,459,3846,1540,1968,1825,3600,46569,0,0,988184,190000,0,150300.0,502.6187500000003,87568.02884614615,0,5000000,100000
1641600,Monday,evening,0,0,0,0,4701,1979,2373,2048,3959,47091,0,0,999328,190000,0,151560.0,509.1125000000003,89423.35331372898,0,5000000,100000
1670400,Tuesday,morning,0,0,0,0,4509,1879,2275,1999,3108,48135,0,0,1021880,190000,0,154620.0,518.4875000000003,91115.03787737322,0,5000000,100000
1699200,Tuesday,afternoon,1374,685,689,345,3993,1633,2033,1881,2491,49194,0,0,1043324,200000,0,155340.0,521.5625000000003,92816.34510770491,0,5000000,100000
1728000,Tuesday,evening,6,13,5,9,4693,1965,2349,2066,2037,50235,0,0,1065240,200000,0,156600.0,526.5750000000004,94340.18676394314,0,5000000,100000
1756800,Wednesday,morning,6,13,5,9,4376,1766,2170,1971,1288,51294,0,0,1086972,200000,0,158940.0,539.3562500000004,95652.3099283075,0,5000000,100000
1785600,Wednesday,afternoon,3224,1620,1612,801,3220,1224,1597,1677,1255,52333,0,0,1109140,210000,0,160020.0,543.6187500000003,97268.42253826522,0,5000000,100000
1814400,Wednesday,evening,0,0,0,0,4913,2084,2456,2111,1595,53368,0,0,1131624,210000,0,162360.0,554.0500000000003,98739.41125239151,0,5000000,100000
