idx,weekday,shift,current_level_parking_tshirt,current_level_parking_hoodie,current_level_parking_spants,current_level_parking_sneaks,current_level_storage_tshirt,current_level_storage_hoodie,current_level_storage_spants,current_level_storage_sneaks,current_packing_stations_queue,total_orders_shipped,total_orders_cancelled,total_orders_discarded,total_gross_proft,total_delivery_expense,total_delivery_expense_returns,total_labor_expense,total_labor_expense_overtime,total_inventory_holding_cost,total_lost_sales_penalty,fixed_cost_facilities,fixed_cost_packing_stations
1324800,Friday,morning,0,0,0,0,3397,1967,1874,1762,0,38902,0,0,826818,150000,0,110880.0,380.15,69407.2067153019,0,5000000,100000
1353600,Friday,afternoon,4169,2081,2079,1050,1867,1198,1122,1385,322,39944,0,0,848820,160000,0,112500.0,386.8375,70820.88583683738,0,5000000,100000
1382400,Friday,evening,0,0,0,0,4248,2433,2364,1997,844,40989,0,0,870680,160000,0,115380.0,396.4,72119.0589398403,0,5000000,100000
1411200,Saturday,morning,0,0,0,0,3514,2032,2001,1811,1018,41513,0,0,881692,160000,0,121500.0,408.475,73259.84005789753,0,5000000,100000
1440000,Saturday,afternoon,4577,2292,2299,1158,1875,1201,1178,1411,1950,42043,0,0,892764,170000,0,122940.0,415.05,75032.12504630945,0,5000000,100000
1468800,Saturday,evening,0,0,0,0,4536,2550,2570,2080,3083,42575,0,0,903712,170000,0,125820.0,426.7375,76802.68475694924,0,5000000,100000
1497600,Sunday,morning,0,0,0,0,3634,2115,2136,1871,2830,43620,0,0,925720,170000,0,132300.0,445.8625,78415.14819676243,0,5000000,100000
1526400,Sunday,afternoon,3675,1828,1852,918,2253,1366,1413,1491,3068,44650,0,0,948406,180000,0,134100.0,452.86875000000003,80400.11031018352,0,5000000,100000
1555200,Sunday,evening,0,0,0,0,4328,2450,2546,2018,3395,45697,0,0,970330,180000,0,136800.0,463.45000000000005,82255.94964695394,0,5000000,100000
1584000,Monday,morning,0,0,0,0,3778,2180,2286,1879,3375,46219,0,0,981444,180000,0,142200.0,479.98125000000005,83951.64875228475,0,5000000,100000
1612800,Monday,afternoon,1830,916,916,459,2978,1817,1891,1693,3543,46735,0,0,992610,190000,0,143280.0,486.56875,85835.37221060925,0,5000000,100000
1641600,Monday,evening,0,0,0,0,4015,2366,2414,1964,3701,47262,0,0,1003920,190000,0,144720.0,493.38125,87651.39789348734,0,5000000,100000
1670400,Tuesday,morning,0,0,0,0,3662,2187,2240,1880,2952,48306,0,0,1026158,190000,0,147420.0,498.31875,89306.65578120777,0,5000000,100000
1699200,Tuesday,afternoon,1374,685,689,345,3088,1920,1964,1725,2398,49347,0,0,1048250,200000,0,148320.0,500.82500000000005,90967.16949649273,0,5000000,100000
1728000,Tuesday,evening,6,13,5,9,3897,2312,2362,1925,1839,50396,0,0,1069940,200000,0,149580.0,505.65625000000006,92447.64767127087,0,5000000,100000
1756800,Wednesday,morning,6,13,5,9,3373,2060,2121,1795,1311,51416,0,0,1092744,200000,0,151740.0,516.1875,93716.34583329089,0,5000000,100000
1785600,Wednesday,afternoon,3224,1620,1612,801,2125,1488,1524,1491,1338,52463,0,0,1114860,210000,0,153000.0,520.6062499999999,95280.44738537933,0,5000000,100000
1814400,Wednesday,evening,0,0,0,0,4088,2460,2458,1984,1467,53514,0,0,1136498,210000,0,155340.0,533.5999999999999,96708.97838305766,0,5000000,100000
