shift_start,date,weekday,shift,name,idle_time,active_time,discarded_time,num_orders_fulfilled,num_orders_discarded,overtime,utilization
0,10/22/2020,Thursday,morning,0morning1,19040,9760,0,33,0,0,0.3388888888888889
0,10/22/2020,Thursday,morning,0morning4,18910,9890,0,34,0,0,0.3434027777777778
0,10/22/2020,Thursday,morning,0morning2,21800,7000,0,24,0,0,0.24305555555555555
0,10/22/2020,Thursday,morning,0morning5,19088,9740,0,33,0,28,0.33850845578042693
0,10/22/2020,Thursday,morning,0morning3,22801,6210,0,21,0,211,0.21973170898638011
28800,10/22/2020,Thursday,afternoon,28800afternoon2,1810,27040,0,92,0,50,0.9373702422145329
28800,10/22/2020,Thursday,afternoon,28800afternoon3,1054,27860,0,94,0,114,0.9636902301226402
28800,10/22/2020,Thursday,afternoon,28800afternoon5,1018,27920,0,95,0,138,0.9649883065070849
28800,10/22/2020,Thursday,afternoon,28800afternoon1,897,28050,0,95,0,147,0.9691689008042895
28800,10/22/2020,Thursday,afternoon,28800afternoon4,2333,26730,0,90,0,263,0.9204460205960581
28800,10/22/2020,Thursday,afternoon,28800afternoon6,2249,26840,0,91,0,289,0.9234461161413302
57600,10/22/2020,Thursday,evening,57600evening7,0,28820,0,98,0,20,1.0
57600,10/22/2020,Thursday,evening,57600evening4,0,28840,0,98,0,40,1.0
57600,10/22/2020,Thursday,evening,57600evening3,0,28850,0,97,0,50,1.0
57600,10/22/2020,Thursday,evening,57600evening1,0,28860,0,97,0,60,1.0
57600,10/22/2020,Thursday,evening,57600evening5,0,28880,0,97,0,80,1.0
57600,10/22/2020,Thursday,evening,57600evening2,0,28940,0,98,0,140,1.0
57600,10/22/2020,Thursday,evening,57600evening6,0,29070,0,99,0,270,1.0
86400,10/23/2020,Friday,morning,86400morning4,408,28430,0,96,0,38,0.985870619199335
86400,10/23/2020,Friday,morning,86400morning3,211,28730,0,97,0,141,0.9927446530499966
86400,10/23/2020,Friday,morning,86400morning7,574,28420,0,96,0,194,0.980334383993422
86400,10/23/2020,Friday,morning,86400morning2,714,28290,0,96,0,204,0.9755546425636812
86400,10/23/2020,Friday,morning,86400morning6,700,28330,0,96,0,230,0.9760765550239234
86400,10/23/2020,Friday,morning,86400morning1,665,28390,0,96,0,255,0.9773114977823268
86400,10/23/2020,Friday,morning,86400morning5,603,28480,0,95,0,283,0.9794660491725125
115200,10/23/2020,Friday,afternoon,115200afternoon2,1135,27670,0,94,0,5,0.960603956959389
115200,10/23/2020,Friday,afternoon,115200afternoon13,1733,27110,0,92,0,43,0.94000553901544
115200,10/23/2020,Friday,afternoon,115200afternoon12,1950,26920,0,91,0,70,0.9326192121630961
115200,10/23/2020,Friday,afternoon,115200afternoon3,1080,27810,0,95,0,90,0.9627329192546584
115200,10/23/2020,Friday,afternoon,115200afternoon6,1908,26990,0,92,0,98,0.9341978203890192
115200,10/23/2020,Friday,afternoon,115200afternoon10,2270,26660,0,90,0,130,0.921885753613214
115200,10/23/2020,Friday,afternoon,115200afternoon9,1792,27160,0,92,0,152,0.9384277075316108
115200,10/23/2020,Friday,afternoon,115200afternoon4,1059,27900,0,94,0,159,0.9636307438697713
115200,10/23/2020,Friday,afternoon,115200afternoon1,2374,26590,0,90,0,164,0.9184976654765175
115200,10/23/2020,Friday,afternoon,115200afternoon11,2196,26790,0,90,0,186,0.9247223364870424
115200,10/23/2020,Friday,afternoon,115200afternoon7,2186,26800,0,91,0,186,0.9250651309474839
115200,10/23/2020,Friday,afternoon,115200afternoon5,1968,27080,0,91,0,248,0.9328235936646642
115200,10/23/2020,Friday,afternoon,115200afternoon14,1866,27190,0,92,0,256,0.9363400655021834
115200,10/23/2020,Friday,afternoon,115200afternoon8,4108,25000,0,84,0,308,0.8603481098721784
144000,10/23/2020,Friday,evening,144000evening2,0,28840,0,97,0,40,1.0
144000,10/23/2020,Friday,evening,144000evening14,0,28840,0,98,0,40,1.0
144000,10/23/2020,Friday,evening,144000evening4,0,28850,0,97,0,50,1.0
144000,10/23/2020,Friday,evening,144000evening1,0,28910,0,98,0,110,1.0
144000,10/23/2020,Friday,evening,144000evening6,0,28940,0,98,0,140,1.0
144000,10/23/2020,Friday,evening,144000evening15,0,28950,0,98,0,150,1.0
144000,10/23/2020,Friday,evening,144000evening3,0,28980,0,98,0,180,1.0
144000,10/23/2020,Friday,evening,144000evening7,0,29010,0,99,0,210,1.0
144000,10/23/2020,Friday,evening,144000evening10,0,29010,0,99,0,210,1.0
144000,10/23/2020,Friday,evening,144000evening9,0,29020,0,99,0,220,1.0
144000,10/23/2020,Friday,evening,144000evening16,0,29030,0,99,0,230,1.0
144000,10/23/2020,Friday,evening,144000evening13,0,29040,0,99,0,240,1.0
144000,10/23/2020,Friday,evening,144000evening11,0,29050,0,99,0,250,1.0
144000,10/23/2020,Friday,evening,144000evening5,0,29050,0,98,0,250,1.0
144000,10/23/2020,Friday,evening,144000evening8,0,29070,0,98,0,270,1.0
144000,10/23/2020,Friday,evening,144000evening12,0,29110,0,98,0,310,1.0
172800,10/24/2020,Saturday,morning,172800morning2,0,28800,0,97,0,0,1.0
172800,10/24/2020,Saturday,morning,172800morning3,0,28810,0,98,0,10,1.0
172800,10/24/2020,Saturday,morning,172800morning6,0,28830,0,98,0,30,1.0
172800,10/24/2020,Saturday,morning,172800morning5,0,28840,0,98,0,40,1.0
172800,10/24/2020,Saturday,morning,172800morning7,0,28890,0,98,0,90,1.0
172800,10/24/2020,Saturday,morning,172800morning4,0,29040,0,98,0,240,1.0
172800,10/24/2020,Saturday,morning,172800morning1,0,29050,0,99,0,250,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon7,0,28810,0,98,0,10,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon1,0,28880,0,98,0,80,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon10,0,28890,0,97,0,90,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon9,0,28900,0,98,0,100,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon8,0,28910,0,97,0,110,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon15,0,28920,0,99,0,120,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon6,0,28940,0,98,0,140,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon2,0,28960,0,98,0,160,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon12,0,28970,0,99,0,170,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon5,0,28970,0,99,0,170,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon13,0,28980,0,98,0,180,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon11,0,29000,0,99,0,200,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon14,0,29020,0,98,0,220,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon3,0,29060,0,98,0,260,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon4,0,29090,0,98,0,290,1.0
230400,10/24/2020,Saturday,evening,230400evening15,0,28800,0,97,0,0,1.0
230400,10/24/2020,Saturday,evening,230400evening16,0,28800,0,98,0,0,1.0
230400,10/24/2020,Saturday,evening,230400evening3,0,28840,0,97,0,40,1.0
230400,10/24/2020,Saturday,evening,230400evening11,0,28840,0,98,0,40,1.0
230400,10/24/2020,Saturday,evening,230400evening4,0,28880,0,98,0,80,1.0
230400,10/24/2020,Saturday,evening,230400evening7,0,28890,0,98,0,90,1.0
230400,10/24/2020,Saturday,evening,230400evening17,0,28890,0,98,0,90,1.0
230400,10/24/2020,Saturday,evening,230400evening5,0,28900,0,98,0,100,1.0
230400,10/24/2020,Saturday,evening,230400evening1,0,28900,0,98,0,100,1.0
230400,10/24/2020,Saturday,evening,230400evening2,0,28900,0,98,0,100,1.0
230400,10/24/2020,Saturday,evening,230400evening13,0,28920,0,98,0,120,1.0
230400,10/24/2020,Saturday,evening,230400evening9,0,28960,0,98,0,160,1.0
230400,10/24/2020,Saturday,evening,230400evening6,0,29000,0,98,0,200,1.0
230400,10/24/2020,Saturday,evening,230400evening8,0,29050,0,98,0,250,1.0
230400,10/24/2020,Saturday,evening,230400evening12,0,29060,0,99,0,260,1.0
230400,10/24/2020,Saturday,evening,230400evening14,0,29070,0,98,0,270,1.0
230400,10/24/2020,Saturday,evening,230400evening10,0,29090,0,98,0,290,1.0
259200,10/25/2020,Sunday,morning,259200morning3,0,28820,0,97,0,20,1.0
259200,10/25/2020,Sunday,morning,259200morning4,0,28900,0,98,0,100,1.0
259200,10/25/2020,Sunday,morning,259200morning8,0,28910,0,98,0,110,1.0
259200,10/25/2020,Sunday,morning,259200morning5,0,29000,0,98,0,200,1.0
259200,10/25/2020,Sunday,morning,259200morning1,0,29010,0,98,0,210,1.0
259200,10/25/2020,Sunday,morning,259200morning2,0,29020,0,98,0,220,1.0
259200,10/25/2020,Sunday,morning,259200morning7,0,29040,0,98,0,240,1.0
259200,10/25/2020,Sunday,morning,259200morning6,0,29080,0,98,0,280,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon7,0,28820,0,97,0,20,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon6,0,28830,0,98,0,30,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon2,0,28850,0,97,0,50,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon9,0,28860,0,98,0,60,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon3,0,28910,0,98,0,110,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon4,0,29000,0,98,0,200,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon5,0,29000,0,98,0,200,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon13,0,29010,0,99,0,210,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon1,0,29020,0,98,0,220,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon11,0,29040,0,99,0,240,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon12,0,29050,0,99,0,250,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon10,0,29080,0,99,0,280,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon8,0,29080,0,98,0,280,1.0
316800,10/25/2020,Sunday,evening,316800evening6,0,28800,0,98,0,0,1.0
316800,10/25/2020,Sunday,evening,316800evening12,0,28800,0,98,0,0,1.0
316800,10/25/2020,Sunday,evening,316800evening13,0,28890,0,98,0,90,1.0
316800,10/25/2020,Sunday,evening,316800evening4,0,28910,0,98,0,110,1.0
316800,10/25/2020,Sunday,evening,316800evening11,0,28920,0,98,0,120,1.0
316800,10/25/2020,Sunday,evening,316800evening3,0,28940,0,98,0,140,1.0
316800,10/25/2020,Sunday,evening,316800evening5,0,28960,0,98,0,160,1.0
316800,10/25/2020,Sunday,evening,316800evening2,0,28970,0,98,0,170,1.0
