shift_start,date,weekday,shift,name,idle_time,active_time,num_orders_shipped,stationed_at,overtime,utilization
1123200,11/04/2020,Wednesday,morning,1123200morning1,4,28870,512,2,74,0.9998618211966285
1152000,11/04/2020,Wednesday,afternoon,1152000afternoon1,4,28810,531,1,14,0.9998612460108228
1152000,11/04/2020,Wednesday,afternoon,1152000afternoon2,75,28760,527,2,35,0.9974021475580187
1180800,11/04/2020,Wednesday,evening,1180800evening1,15,28790,513,1,5,0.9994793474488025
1180800,11/04/2020,Wednesday,evening,1180800evening2,36,28830,519,2,66,0.9987557030277893
1209600,11/05/2020,Thursday,morning,1209600morning1,6,28840,527,1,46,0.9997923300567632
1209600,11/05/2020,Thursday,morning,1209600morning2,67,28780,533,2,47,0.9976811794836298
1238400,11/05/2020,Thursday,afternoon,1238400afternoon1,47,28770,515,1,17,0.9983699798848582
1238400,11/05/2020,Thursday,afternoon,1238400afternoon2,48,28780,524,2,28,0.9983365677848628
1267200,11/05/2020,Thursday,evening,1267200evening1,18,28800,521,1,18,0.9993757802746567
1267200,11/05/2020,Thursday,evening,1267200evening2,29,28800,531,2,29,0.9989950793540786
1296000,11/06/2020,Friday,morning,1296000morning2,10750,18050,337,2,0,0.6267361111111112
1296000,11/06/2020,Friday,morning,1296000morning1,8920,19900,370,1,20,0.6907073509015257
1324800,11/06/2020,Friday,afternoon,1324800afternoon2,120,28680,522,1,0,0.9958333333333333
1324800,11/06/2020,Friday,afternoon,1324800afternoon1,110,28700,521,2,10,0.9961832061068703
1353600,11/06/2020,Friday,evening,1353600evening1,1,28800,521,1,1,0.9999652801888758
1353600,11/06/2020,Friday,evening,1353600evening2,11,28800,524,2,11,0.9996183470959683
1382400,11/07/2020,Saturday,morning,1382400morning1,2,28850,523,1,52,0.9999308054248547
1411200,11/07/2020,Saturday,afternoon,1411200afternoon1,0,28840,530,2,40,1.0
1440000,11/07/2020,Saturday,evening,1440000evening1,0,28820,532,1,20,1.0
1468800,11/08/2020,Sunday,morning,1468800morning1,0,28810,520,2,10,1.0
1468800,11/08/2020,Sunday,morning,1468800morning2,21,28810,526,1,31,0.9992723996951008
1497600,11/08/2020,Sunday,afternoon,1497600afternoon1,11,28790,519,2,1,0.9996180820776335
1497600,11/08/2020,Sunday,afternoon,1497600afternoon2,32,28820,511,1,52,0.9988928867976751
1526400,11/08/2020,Sunday,evening,1526400evening2,53,28770,516,1,23,0.9981626568675033
1526400,11/08/2020,Sunday,evening,1526400evening1,2,28830,531,2,32,0.999930709534368
1555200,11/09/2020,Monday,morning,1555200morning1,24,28800,521,1,24,0.9991680532445923
1584000,11/09/2020,Monday,afternoon,1584000afternoon1,0,28830,516,2,30,1.0
1612800,11/09/2020,Monday,evening,1612800evening1,0,28830,527,1,30,1.0
1641600,11/10/2020,Tuesday,morning,1641600morning1,0,28810,521,2,10,1.0
1641600,11/10/2020,Tuesday,morning,1641600morning2,31,28820,524,1,51,0.9989274098678292
1670400,11/10/2020,Tuesday,afternoon,1670400afternoon1,11,28800,522,2,11,0.9996183470959683
1670400,11/10/2020,Tuesday,afternoon,1670400afternoon2,52,28760,519,1,12,0.9981959478212601
1699200,11/10/2020,Tuesday,evening,1699200evening1,12,28800,522,2,12,0.9995836802664446
1699200,11/10/2020,Tuesday,evening,1699200evening2,13,28830,527,1,43,0.9995499549954996
1728000,11/11/2020,Wednesday,morning,1728000morning2,44,28770,510,1,14,0.998473706119051
1728000,11/11/2020,Wednesday,morning,1728000morning1,13,28810,510,2,23,0.999549330929765
1756800,11/11/2020,Wednesday,afternoon,1756800afternoon2,24,28810,519,2,34,0.9991686296244977
1756800,11/11/2020,Wednesday,afternoon,1756800afternoon1,15,28820,528,1,35,0.9994804295116038
